Provenance,English,Somali,Somali italic?
,Method,Dariiqo,
,Midpoint,Bar badhtameed,
,Minimum,Ugu yaraan,
,Minor,Yare,
,Minus sign,Sumadda kala gooynta,
p-2-7,Minus,Ka goo,
,Mixed numbers,Tiro dhafan,
,Model,Heemaal,
,Multiple,Dhufsane,
,Multiplicand,Lagu dhufte,
,Multiplication sign,Summadda isku dhufashada,
,Multiplication,Isku-dhufasho,
,Multiply,Ku dhufo,
,Number,Tiro,
,Natural number,Tirsiimo,
,Negative number,Tiro taban,
,Null set,Urur madhan,
,Number line,Xariiqda tirada,
,Number sentence,Weedh tiro,
,Numeral,Asto-tiro,
,Numerator,Sareeye,
,Oblique,Janjeedhe,
,Obtuse angle,Xagal furan,
,Obtuse-angled triangle,Saddexagal daacsan,
,Odd number,Tiro kisi ah,
,One-to-one correspondence,Isku begnaan mid mid ah,
,Opposite,Ka horjeed,
,Ordered pair,Lammaane horsan,
,Order,Horsiimo,
,Origin,Unug,
,Outcome,Goobdhac,
,Plane,Sallax,
,Plane figure,Shaxan sallaxle,
,Plane surface,Dul sallaxle,
,Plus,Ku Dar,
,Positive number,Tiro togan,
,Principal,Raasamaal,
,Product,Fidi,
,Profit,Macaash,
p-2-8,Quadrant,Waax,
,Quadrilateral equation,Isla'eg saableeya,
,Quadrilateral,Afar-geesle,
,Quality,Tayo,
,Quantity,Xaddi (tiro),
,Quarterly,Sannad waaxdiiba,
,Quotient,Qayb,
,Radius,Gacan,
,Rate,Korsocod,
,Rational number,Tiro lakab,
,Rationalise,Lakabee,
,Ratio,Saami,
,Real number,Tiro maangal ah,
,Reasoning,Garaadayn,
,Reasoning,Garaadeen,
,Rectangle,Laydi,
,Reduction,Yarayn,
,Reference,Tixraac,
,Reflex angle,Xagal daacsan,
,Regular polygon,Geesoole,
,Regular,Qaabsan,
,Relation,Xiriir,
,Repeated addition,Isugeyn noqnoqota ah,
,Result,Jadeeyo,
,Rhombus,Qardhaas,
,Right angle,Xagal quman,
,Root,Xidid,
,Rotate,Winiini,
,Row,Dhinactax,
,Ruler,Mastarad,
,Rule,Xeer,
,Sample,Muunad,
,Scale,Qiyaas,
,Sector,Fatuug,
,Segment of circle,Qoqob goobo,
,Set,Urur,
,Shape,Qaab,
p-2-9,Side,Dhinac,
,Similarity,Ekaansho,
,Simplify,Fududee,
,Simultaneous equation,Isle'egyo wadajira,
,Sine,Sayn,Y
,Size,Jimidh baaxaad,
,Solution,Furfuris,
,Solve for,Furfur,
,Space,Dulalaati,
,Speed,Xawaare,
,Sphere,Kubbad,
,Square root,Xididka labajibaarka,
,Square (fig),Labajibaaran,
,Square,Labajibaar,
,Standard,Beeggal,
,Straight line,Xariiq toosan,
,Subset,Hormo urur,
,Substitute,Ku bedel,
,Subtraction,Kalagoyn,
,Sum,Wadar,
,Surface,Dul,
,Symbol,Summad,
,Symmetrical,Wanqaran,
,System,Habdhis,
,Table,Tuse,
,Tangent,Taanjent,Y
,Tens,Tobno,
,Tenths,Tobneed,
,Tenth,Tobnaad,
,Term,Tibix,
,Theorem,Aragtiin,
,Theory,Aragti,
,Time,Ammin,
,Transform,Sansaan qaad,
,Triangle,Saddexagal,
,Trisect,Saddex goys,
p-2-10,Union of sets,Isutag Urur,
,Unique,Madi,
,Unit,Cutub,
,Unit,Halbeeg,
,Unit,Kowaad,
,Universal set,Urur guud,
,Unknown,Dahsoon,
,Valid,Dhisan,
,Value,Qiime,
,Vanishing point,Bar libidh,
,Variable,Doorsoome,
,Variation,Isrogrogid,
,Vector product,Tranleeb,
,Vector,Leeb,
,Verify,Xaqiiji,
,Volume,Mug,
,Weight,Culays,
,Wheel,Shaag,
,Whole number,Tiro idil,
,Width,Ballac,
p-2-11,Factorial,Abnacan,
,Integral (part),Abyane,
,Integrate,Abyi,
,Integers,Abyoonayaal,
,Integers,Abyoonayaal,
,Integer (negative),Abyoone taban,
,Integer (positive),Abyoone togan,
,Quadrilateral,Afar-geesle,
,Hypothesis,Afeef,
,Algebra,Aljebra,Y
,Marks,Amaarado,
,Time,Ammin,
,Theory,Aragti,
,Theorem,Aragtiin,
,Arithmetic,Aritmatic,Y
,Fundamental,Asaas,
,Numeral,Asto-tiro,
,Half line,Badh,
,Width,Ballac,
,Midpoint,Bar badhtameed,
,Initial point,Bar bilow,
,Vanishing point,Bar libidh,
,Standard,Beeggal,
,Initial,Bilow,
,Hundredth,Boqolleed,
,Hundreds,"Boqollo, Boqollaal",
,Common,Caadi,
,Measurement,Cabbiraad,
,Average,Celcelis,
,Weight,Culays,
,Unit,Cutub,
,Unknown,Dahsoon,
,Method,Dariiqo,
,Adjacent,Deris,
,Discount,Dhaafid,
,Generate,Dhali,
p-2-12,Co-terminal,Dhammaad wadaag,
,Interest,Dheef,
,Interest (simple),Dheef fudud,
,Interest (compound),Dheef kor,
,Deduction,Dheegid,
,Length,Dherer,
,Median,Dhexfur,
,Diameter,Dhexroor,
,Intersection (set),Dhextaal,
,Axes,Dhidbo,
,Axis,Dhidib,
,Discount,Dhimid,
,Side,Dhinac,
,Row,Dhinactax,
,Decrease,Dhinma,
,Valid,Dhisan,
,Brackets,Dhudhub,
,Multiple,Dhufsane,
